BUYER_STATE,month,total_pills,average_annual_population,pills_per_person_state_month
TX,04,445053851,24230662,18.367383070260317
TX,05,455301062,24230662,18.790285713200902
TX,06,466766497,24230662,19.26346448974444
TX,07,453734730,24230662,18.725643154116053
TX,08,470187462,24230662,19.404647797076283
TX,09,442638356,24230662,18.267695533865314
TX,10,468117833,24230662,19.31923415876958
TX,11,449929060,24230662,18.568583062237426
TX,12,475940903,24230662,19.64209244468847
UT,01,53846582,2653849,20.289994645512987
UT,02,53099852,2653849,20.00861842553966
UT,03,59575560,2653849,22.44873766367265
UT,04,56036490,2653849,21.115176485173045
UT,05,57571916,2653849,21.693742183522875
UT,06,58238464,2653849,21.944904928652686
UT,07,57702139,2653849,21.742811667129516
UT,08,60237936,2653849,22.698328352517418
UT,09,56549026,2653849,21.308305785295246
UT,10,60658916,2653849,22.856958327320054
UT,11,58379100,2653849,21.997898147181697
UT,12,61781171,2653849,23.279836569450637
VT,01,9912360,623664,15.893750481028246
VT,02,9059420,623664,14.526123040611612
VT,03,10351900,623664,16.598520998486364
VT,04,9634750,623664,15.448622976474512
VT,05,13071720,623664,20.95955514507812
VT,06,10268685,623664,16.465091780189333
VT,07,10105358,623664,16.203208779086175
VT,08,10303330,623664,16.520642525462428
VT,09,9954240,623664,15.96090202416686
VT,10,10545150,623664,16.908383360270914
VT,11,9814270,623664,15.736470278868108
VT,12,10349220,623664,16.59422381282229
VA,01,123394294.00036,7823269,15.7727279990449
VA,02,120412095,7823269,15.391531979790035
VA,03,135235081,7823269,17.28626243070512
VA,04,129272681,7823269,16.52412578424697
VA,05,133811534,7823269,17.10429923859195
VA,06,136232694,7823269,17.41378111886476
VA,07,133834515,7823269,17.107236757421994
VA,08,138717482.0024,7823269,17.731396172418464
VA,09,132134291.50028,7823269,16.889907722753748
VA,10,140792247,7823269,17.996600525943823
VA,11,133917938,7823269,17.117900202587947
VA,12,138512147.0003,7823269,17.70514947144218
WA,01,143470629,6544738,21.921523672910972
WA,02,141177564,6544738,21.571155942376915
WA,03,159866204,6544738,24.426677431548825
WA,04,149382944,6544738,22.8248929139715
WA,05,156187243,6544738,23.86455240836226
WA,06,157501806,6544738,24.065410410623006
WA,07,157488023,6544738,24.063304443967045
WA,08,159465616,6544738,24.36546978656747
WA,09,152775349.5,6544738,23.343233831514723
WA,10,160193335,6544738,24.476661250610796
WA,11,153026584,6544738,23.3816210824635
WA,12,163691171,6544738,25.011111369164052
WV,01,67254205,1835903,36.63276600125388
WV,02,64917760,1835903,35.36012523537464
WV,03,72124569,1835903,39.28560986065168
WV,04,68794950,1835903,37.47199606950912
WV,05,70499422.5,1835903,38.40040704764903
WV,06,73671197,1835903,40.12804434656951
WV,07,71557318,1835903,38.97663329707506
WV,08,73238470,1835903,39.89234180672944
WV,09,71165900,1835903,38.763431401332205
WV,10,74471530,1835903,40.563978597997824
WV,11,70637887,1835903,38.475827426612405
WV,12,75153210,1835903,40.93528361792535
WI,01,101005072.8,5631273,17.936454652438268
WI,02,97274113,5631273,17.273911778029586
WI,03,108110744,5631273,19.198277902705126
